user_input,ai_response,category,follow_up,tone
Hope you're doing well!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Reassuring
How have you been?,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Patient
Good morning!,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Patient
Hope you're doing well!,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Patient
Good morning!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Encouraging
Good morning!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Friendly
Good evening!,Hello! How are you today?,Greeting,What have you been up to recently?,Encouraging
Good evening!,Hello! How are you today?,Greeting,What have you been up to recently?,Reassuring
Hello!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Patient
Hope you're doing well!,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Patient
Good afternoon!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Empathetic
Hi there!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Patient
How have you been?,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Patient
How have you been?,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Empathetic
It's nice to see you!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Encouraging
How have you been?,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Patient
Hi there!,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Reassuring
Hello!,Good evening! I hope you had a great day.,Greeting,What was the best part of your day?,Reassuring
Hi there!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Reassuring
It's nice to see you!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Encouraging
It's nice to see you!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Reassuring
Hello!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Friendly
Good afternoon!,Good evening! I hope you had a great day.,Greeting,What was the best part of your day?,Patient
Good afternoon!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Reassuring
It's nice to see you!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Friendly
Good afternoon!,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Encouraging
Good morning!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Friendly
It's nice to see you!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Encouraging
Hope you're doing well!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Patient
How are you?,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Encouraging
It's nice to see you!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Friendly
Good morning!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Reassuring
Good morning!,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Patient
Hello!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Encouraging
"Hey, how are you today?",Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Empathetic
Good evening!,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Reassuring
How are you?,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Encouraging
It's nice to see you!,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Encouraging
How are you?,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Reassuring
It's nice to see you!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Patient
Hi there!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Friendly
"Hey, how are you today?",How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Friendly
Good morning!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Reassuring
How are you?,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Reassuring
Hello!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Friendly
Good morning!,Good evening! I hope you had a great day.,Greeting,What was the best part of your day?,Reassuring
Good afternoon!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Friendly
Good afternoon!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Encouraging
"Hey, how are you today?",Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Empathetic
How are you?,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Empathetic
Hi there!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Empathetic
Hello!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Friendly
Good afternoon!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Empathetic
How have you been?,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Friendly
How are you?,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Friendly
Good evening!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Reassuring
How are you?,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Empathetic
Good afternoon!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Reassuring
How are you?,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Patient
Good evening!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Reassuring
"Hey, how are you today?",Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Reassuring
Hope you're doing well!,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Reassuring
It's nice to see you!,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Reassuring
How are you?,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Empathetic
"Hey, how are you today?",Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Reassuring
It's nice to see you!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Patient
It's nice to see you!,Good evening! I hope you had a great day.,Greeting,What was the best part of your day?,Patient
Hope you're doing well!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Reassuring
How have you been?,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Patient
How have you been?,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Empathetic
Hello!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Friendly
Hope you're doing well!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Friendly
Hope you're doing well!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Friendly
Good evening!,Hello! How are you today?,Greeting,What have you been up to recently?,Empathetic
How are you?,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Patient
Hello!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Empathetic
How are you?,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Encouraging
Good morning!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Empathetic
It's nice to see you!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Empathetic
"Hey, how are you today?",Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Encouraging
Good morning!,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Patient
Good afternoon!,It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Friendly
Hope you're doing well!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Patient
It's nice to see you!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Reassuring
It's nice to see you!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Encouraging
Good evening!,How are you doing today? I hope you’re feeling great.,Greeting,Is there anything exciting happening for you?,Friendly
Good morning!,Good evening! I hope you had a great day.,Greeting,What was the best part of your day?,Patient
It's nice to see you!,Hello! How are you today?,Greeting,What have you been up to recently?,Encouraging
Good morning!,Hello! How are you today?,Greeting,What have you been up to recently?,Patient
Hi there!,Hello! How are you today?,Greeting,What have you been up to recently?,Reassuring
How are you?,Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Encouraging
"Hey, how are you today?",It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Empathetic
Good afternoon!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Encouraging
It's nice to see you!,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Patient
Hi there!,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Encouraging
Good morning!,Good afternoon! How are you feeling today?,Greeting,Are you enjoying the day?,Encouraging
Hello!,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Reassuring
Good morning!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Friendly
How have you been?,Hi there! I’m glad we can talk today.,Greeting,What’s been keeping you busy?,Patient
Good afternoon!,Hi there! It's a pleasure to chat with you.,Greeting,What’s on your mind today?,Friendly
Hello!,Hello! How are you today?,Greeting,What have you been up to recently?,Empathetic
"Hey, how are you today?",Hello! I hope you’re having a wonderful day.,Greeting,Are you planning anything fun for later?,Encouraging
"Hey, how are you today?",It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Encouraging
Good evening!,Hi! It’s lovely to chat with you again.,Greeting,What have you been thinking about lately?,Friendly
"Hey, how are you today?",It’s so nice to hear from you! How have you been?,Greeting,What’s something you’ve enjoyed recently?,Empathetic
Good evening!,Hello! How are you today?,Greeting,What have you been up to recently?,Reassuring
How are you?,Hello! How are you today?,Greeting,What have you been up to recently?,Patient
How are you?,Hello! How are you today?,Greeting,What have you been up to recently?,Friendly
How have you been?,Good morning! Did you sleep well?,Greeting,Do you have any plans for today?,Patient
